id,outlet_name,restaurant_name
5c98ce7e6197d625d0ef6b8b,Nanking,Nanking
5c98ce7e6197d625d0ef6b8d,Friends Shawarma,Friends Shawarma
5c98ce7e6197d625d0ef6c21,Little Italy,Little Italy
5c98ce7e6197d625d0ef6d8b,Spice 6 - The Global Cuisine,Spice 6 - The Global Cuisine
5c98ce7f6197d625d0ef6e16,The Gallery Cafe,The Gallery Cafe
5c98ce7f6197d625d0ef6e36,House of Dosas,House of Dosas
5c98ce7f6197d625d0ef6e55,Ram Ki Bandi,Ram Ki Bandi
5c98ce7f6197d625d0ef6e94,Hyper Local,Hyper Local
5c98ce7f6197d625d0ef6f01,Have More Restaurant & Bakers,Have More Restaurant & Bakers
5c98ce7f6197d625d0ef6fa5,Sri Kanya Comfort,Sri Kanya Comfort
5c98ce7f6197d625d0ef7049,Sri Kanya Comfort,Sri Kanya Comfort
5c98ce7f6197d625d0ef70cc,Stone Waters - Kitchen & Lounge,Stone Waters - Kitchen & Lounge
5c98ce7f6197d625d0ef7106,Yum Yum Tree,Yum Yum Tree
5c98ce7f6197d625d0ef7180,Your Friend Bawarchi,Your Friend Bawarchi
5c98ce7f6197d625d0ef71e7,Abhiruchi Hotel,Abhiruchi Hotel
5c98ce7f6197d625d0ef7214,Abhiruchi Hotel,Abhiruchi Hotel
5c98ce7f6197d625d0ef7237,Abhiruchi Hotel,Abhiruchi Hotel
5c98ce806197d625d0ef7281,Biryani Art,Biryani Art
5c98ce806197d625d0ef7295,Hunger Maggi Point,Hunger Maggi Point
5c98ce806197d625d0ef7297,Mataam AL Jazirah,Mataam AL Jazirah
5c98ce806197d625d0ef729e,Mataam AL Jazirah,Mataam AL Jazirah
5c98ce806197d625d0ef7336,Chakhh De Punjab,Chakhh De Punjab
5c98ce806197d625d0ef746e,Cafe Bahar,Cafe Bahar
5c98ce806197d625d0ef74a3,Mekong - Marigold Hotel,Mekong - Marigold Hotel
5c98ce806197d625d0ef75f9,Indi Spice,Indi Spice
5c98ce806197d625d0ef768e,Tea Villa Cafe,Tea Villa Cafe
5c98ce806197d625d0ef7753,Hitech Bawarchi,Hitech Bawarchi
5c98ce806197d625d0ef7808,Central Biryani Pointe,Central Biryani Pointe
5c98ce816197d625d0ef78b1,Reddy's Kitchen,Reddy's Kitchen
5c98ce816197d625d0ef78c0,Mandi King Arabic Restaurant,Mandi King Arabic Restaurant
5c98ce816197d625d0ef78c2,Victoria Restaurant,Victoria Restaurant
5c98ce816197d625d0ef7910,Victoria Restaurant,Victoria Restaurant
5c98ce816197d625d0ef79fb,Loventila,Loventila
5c98ce816197d625d0ef7a8b,Flying Spaghetti Monster,Flying Spaghetti Monster
5c98ce816197d625d0ef7ad3,Food For U,Food For U
5c98ce816197d625d0ef7b3a,La La Land - Bar & Kitchen,La La Land - Bar & Kitchen
5c98ce816197d625d0ef7b6f,Suruchi Biryani House,Suruchi Biryani House
5c98ce816197d625d0ef7be2,Prime Pista Houz Restaurant,Prime Pista Houz Restaurant
5c98ce816197d625d0ef7c23,Oh! Calcutta,Oh! Calcutta
5c98ce816197d625d0ef7d4e,Firewater  Kitchen & Bar,Firewater  Kitchen & Bar
5c98ce826197d625d0ef7dc4,Ocean Of Bakes,Ocean Of Bakes
5c98ce826197d625d0ef7de4,Behrouz Biryani,Behrouz Biryani
5c98ce826197d625d0ef7df4,Hotel Mukarram,Hotel Mukarram
5c98ce826197d625d0ef7e17,Stikstof Ice-Cream Cafe,Stikstof Ice-Cream Cafe
5c98ce826197d625d0ef7f44,Chefs Miracles,Chefs Miracles
5c98ce826197d625d0ef7f60,A-1 Chicken Pakoda Point,A-1 Chicken Pakoda Point
5c98ce826197d625d0ef7f92,Royal Biryani & Kababs,Royal Biryani & Kababs
5c98ce826197d625d0ef8043,Balaji Santosh Family Dhaba,Balaji Santosh Family Dhaba
5c98ce826197d625d0ef8128,Balaji Santosh Family Dhaba,Balaji Santosh Family Dhaba
5c98ce826197d625d0ef81f5,Balaji Santosh Family Dhaba,Balaji Santosh Family Dhaba
5c98ce826197d625d0ef82aa,Balaji Santosh Family Dhaba,Balaji Santosh Family Dhaba
5c98ce836197d625d0ef8372,Balaji Santosh Family Dhaba,Balaji Santosh Family Dhaba
5c98ce836197d625d0ef8462,Mayabazar Restaurant,Mayabazar Restaurant
5c98ce836197d625d0ef8495,Swathi Mess & Dhaba,Swathi Mess & Dhaba
5c98ce836197d625d0ef84fc,Lazeez Khaana,Lazeez Khaana
5c98ce836197d625d0ef8581,Lazeez Khaana,Lazeez Khaana
5c98ce836197d625d0ef85fd,Lazeez Khaana,Lazeez Khaana
5c98ce836197d625d0ef8657,Nandu Fresh Fruit Juice Centre,Nandu Fresh Fruit Juice Centre
5c98ce836197d625d0ef8680,Amogha Restaurant,Amogha Restaurant
5c98ce836197d625d0ef8684,Amogha Restaurant,Amogha Restaurant
5c98ce836197d625d0ef877c,Hari Dosa,Hari Dosa
5c98ce846197d625d0ef87e5,Deli 9 Bistro,Deli 9 Bistro
5c98ce846197d625d0ef88be,Vindu Bhojanam Restaurant,Vindu Bhojanam Restaurant
5c98ce846197d625d0ef899e,Viyyalavaari Vindu,Viyyalavaari Vindu
5c98ce846197d625d0ef89a0,Domino's Pizza,Domino's Pizza
5c98ce846197d625d0ef89ee,Simply South,Simply South
5c98ce846197d625d0ef8a17,Mandil,Mandil
5c98ce846197d625d0ef8b3d,Mandar,Mandar
5c98ce846197d625d0ef8bb2,Dine Hill,Dine Hill
5c98ce846197d625d0ef8d44,Kim Fung,Kim Fung
5c98ce846197d625d0ef8dce,Hyderabad Xpress,Hyderabad Xpress
5c98ce846197d625d0ef8e49,G. Pulla Reddy Sweets,G. Pulla Reddy Sweets
5c98ce856197d625d0ef8eb7,Amogham Restaurant,Amogham Restaurant
5c98ce856197d625d0ef8eb9,Kathmandu Momos,Kathmandu Momos
5c98ce856197d625d0ef8f0f,Nabanno,Nabanno
5c98ce856197d625d0ef900e,Gravity's Grand,Gravity's Grand
5c98ce856197d625d0ef90e3,Manu's Kitchen,Manu's Kitchen
5c98ce856197d625d0ef91e2,Manu's Kitchen,Manu's Kitchen
5c98ce856197d625d0ef9212,Amba Bhawani Hotel,Amba Bhawani Hotel
5c98ce856197d625d0ef923a,Govind Dosa,Govind Dosa
5c98ce856197d625d0ef9299,Ofen,Ofen
5c98ce856197d625d0ef93a7,Hyderabad Chefs,Hyderabad Chefs
5c98ce856197d625d0ef9430,Hyderabad Chefs,Hyderabad Chefs
5c98ce866197d625d0ef94f3,Shree Santosh Dhaba Family Restaurant,Shree Santosh Dhaba Family Restaurant
5c98ce866197d625d0ef94f5,The Moonshine Project,The Moonshine Project
5c98ce866197d625d0ef94fa,Al Habibi Mandi,Al Habibi Mandi
5c98ce866197d625d0ef9593,Jolly's Biriyani Darbar,Jolly's Biriyani Darbar
5c98ce866197d625d0ef961d,Swach Bawarchi,Swach Bawarchi
5c98ce866197d625d0ef964d,Mandi King,Mandi King
5c98ce866197d625d0ef9665,Mandi King,Mandi King
5c98ce866197d625d0ef96b6,Chung Hua Restaurant,Chung Hua Restaurant
5c98ce866197d625d0ef9868,Hotel Nakshatra Inn,Hotel Nakshatra Inn
5c98ce866197d625d0ef990f,Dwaraka Grand,Dwaraka Grand
5c98ce866197d625d0ef99f5,The Wonton,The Wonton
5c98ce866197d625d0ef9a39,IndiBlaze,IndiBlaze
5c98ce876197d625d0ef9ace,Beyond Coffee,Beyond Coffee
5c98ce876197d625d0ef9af0,The Just Biryani,The Just Biryani
5c98ce876197d625d0ef9bb2,Sri Ganesh Family Dhaba,Sri Ganesh Family Dhaba
5c98ce876197d625d0ef9c56,Moghal Darbar,Moghal Darbar
5c98ce876197d625d0ef9ccb,Hyderabadi​ Bawarchi,Hyderabadi​ Bawarchi
5c98ce876197d625d0ef9d22,Hyderabadi Bawarchi,Hyderabadi Bawarchi
5c98ce876197d625d0ef9d52,Sri Abhiruchi Biryani & Chinese Fast Food,Sri Abhiruchi Biryani & Chinese Fast Food
5c98ce876197d625d0ef9d9f,Lassi Shop,Lassi Shop
5c98ce876197d625d0ef9dd5,Lassi Shop,Lassi Shop
5c98ce876197d625d0ef9e07,Lassi Shop,Lassi Shop
5c98ce876197d625d0ef9e67,Lassi Shop,Lassi Shop
5c98ce876197d625d0ef9ec0,Lassi Shop,Lassi Shop
5c98ce886197d625d0ef9f45,Gulf Bakers And Restaurant,Gulf Bakers And Restaurant
5c98ce886197d625d0efa087,N Village,N Village
5c98ce886197d625d0efa171,Shanghai Chef 2,Shanghai Chef 2
5c98ce886197d625d0efa18c,Istah - Sizzling Shawarmas,Istah - Sizzling Shawarmas
5c98ce886197d625d0efa284,Tipsy Topsy Bakers,Tipsy Topsy Bakers
5c98ce886197d625d0efa353,Tipsy Topsy Bakers,Tipsy Topsy Bakers
5c98ce886197d625d0efa385,Karachi Cafe,Karachi Cafe
5c98ce886197d625d0efa45c,Stop n Go Bakers,Stop n Go Bakers
5c98ce886197d625d0efa4a7,Hoppipola,Hoppipola
5c98ce896197d625d0efa525,Santè Spa Cuisine,Santè Spa Cuisine
5c98ce896197d625d0efa5b5,Hitex Bawarchi,Hitex Bawarchi
5c98ce896197d625d0efa5ff,The Foodie Monster Kitchen,The Foodie Monster Kitchen
5c98ce896197d625d0efa6c7,Rayudu's Biryani House,Rayudu's Biryani House
5c98ce896197d625d0efa748,78 East Restaurant,78 East Restaurant
5c98ce896197d625d0efa7a4,Karim's - The Original from Jama Masjid Delhi 6,Karim's - The Original from Jama Masjid Delhi 6
5c98ce896197d625d0efa83f,Aromas of Andhra,Aromas of Andhra
5c98ce896197d625d0efa89f,Biryani pot,Biryani pot
5c98ce896197d625d0efa9aa,Banana Leaf Multicuisine Restaurant,Banana Leaf Multicuisine Restaurant
5c98ce896197d625d0efaa92,Neha Restaurant,Neha Restaurant
5c98ce8a6197d625d0efabc5,Hotel Sindhura East Court,Hotel Sindhura East Court
5c98ce8a6197d625d0efac70,Mayuri Bar & Restaurant,Mayuri Bar & Restaurant
5c98ce8a6197d625d0efad0f,Suruchi Restaurant,Suruchi Restaurant
5c98ce8a6197d625d0efadaa,Crystal Restaurant & Bar,Crystal Restaurant & Bar
5c98ce8a6197d625d0efadbb,Maa Ooru Biryani,Maa Ooru Biryani
5c98ce8a6197d625d0efae28,Mathura Vilas,Mathura Vilas
5c98ce8a6197d625d0efae8c,Kabul Darbar,Kabul Darbar
5c98ce8a6197d625d0efaf36,Balaji Family Dhaba,Balaji Family Dhaba
5c98ce8b6197d625d0efb008,Balaji Family Dhaba,Balaji Family Dhaba
5c98ce8b6197d625d0efb02c,Oh So Stoned!,Oh So Stoned!
5c98ce8b6197d625d0efb082,Cafe Graffiti,Cafe Graffiti
5c98ce8b6197d625d0efb0ca,New Astoria Restaurant,New Astoria Restaurant
5c98ce8b6197d625d0efb12b,Mad About China,Mad About China
5c98ce8b6197d625d0efb178,Frio Bistro,Frio Bistro
5c98ce8b6197d625d0efb22f,Diners Pavilion,Diners Pavilion
5c98ce8b6197d625d0efb25d,Ravmchi's Vindhu,Ravmchi's Vindhu
5c98ce8b6197d625d0efb359,Reshmi's Classic Restaurant,Reshmi's Classic Restaurant
5c98ce8b6197d625d0efb417,Surya Restaurant,Surya Restaurant
5c98ce8b6197d625d0efb484,Ek Dum Hyderabadi,Ek Dum Hyderabadi
5c98ce8c6197d625d0efb48e,Subhan Bakery,Subhan Bakery
5c98ce8c6197d625d0efb4c2,Ram's Dosa House,Ram's Dosa House
5c98ce8c6197d625d0efb50d,Sigree,Sigree
5c98ce8c6197d625d0efb581,Mohini Multicuisine Restaurant,Mohini Multicuisine Restaurant
5c98ce8c6197d625d0efb59f,Meghana's Spicy Foods,Meghana's Spicy Foods
5c98ce8c6197d625d0efb5a1,Meghana's Spicy Foods,Meghana's Spicy Foods
5c98ce8c6197d625d0efb620,Being Hungry,Being Hungry
5c98ce8c6197d625d0efb6c2,Being Hungry,Being Hungry
5c98ce8c6197d625d0efb6ff,McDonald's,McDonald's
5c98ce8c6197d625d0efb70b,Euphoria,Euphoria
5c98ce8c6197d625d0efb7d5,Mayur Grand,Mayur Grand
5c98ce8c6197d625d0efb85b,Pappa Roti,Pappa Roti
5c98ce8c6197d625d0efb8d9,Cream Rollz and Bake house,Cream Rollz and Bake house
5c98ce8c6197d625d0efb955,Smoky Pitara,Smoky Pitara
5c98ce8d6197d625d0efba05,Dine O China,Dine O China
5c98ce8d6197d625d0efbaaa,Dine O China,Dine O China
